num,sl__si__na,sl__si__id,sl__si__la,sl__si__lg,sl__si__av,sl__si__fr,sl__si__to
099C,001 Rue Jules Ferry - Gare Saint-Roch,1,43.605366,3.881346,8,4,12
6292,002 Comédie,2,43.608148,3.878778,14,10,24
1594,003 Esplanade,3,43.609478,3.881293,5,27,32
F031,004 Hôtel de Ville,4,43.599088,3.894866,4,12,16
1F40,005 Corum,5,43.613989,3.8816,12,0,12
C3B3,006 Place Albert 1er - St Charles,6,43.616768,3.873375,11,20,31
7A22,007 Foch,7,43.610989,3.873345,1,7,8
0DFD,008 Halles Castellane,8,43.609935,3.877208,8,4,12
3750,009 Observatoire,9,43.606081,3.876931,8,0,8
2A86,010 Rondelet,10,43.603038,3.875796,2,14,16
9A01,011 Plan Cabanes,11,43.608491,3.868389,6,6,12
A47F,012 Boutonnet,12,43.622629,3.868375,2,10,12
4866,013 Emile Combes,13,43.616742,3.87998,3,5,8
E0FC,014 Beaux-Arts,14,43.616698,3.884981,4,4,8
63A7,015 Les Aubes,15,43.618692,3.893844,6,2,8
BD67,016 Antigone centre,16,43.607942,3.890634,7,9,16
017B,017 Médiathèque Emile Zola,17,43.608218,3.89314,2,14,16
DC89,018 Nombre d'Or,18,43.607859,3.886644,11,5,16
4459,019 Louis Blanc,19,43.614642,3.877648,9,7,16
6614,020 Gambetta,20,43.607106,3.870693,3,5,8
9855,021 Port Marianne,21,43.60032,3.89851,10,6,16
C311,022 Clemenceau,22,43.603539,3.872394,9,3,12
8629,023 Les Arceaux,23,43.611991,3.867157,3,13,16
1A33,024 Cité Mion,24,43.601143,3.884373,7,1,8
2816,025 Nouveau Saint-Roch,25,43.599817,3.875757,2,6,8
A840,026 Renouvier,26,43.603553,3.867884,4,4,8
62F1,027 Odysseum,27,43.603727,3.918979,8,0,8
A717,028 Saint-Denis,28,43.605021,3.875065,8,0,8
81DB,029 Richter,29,43.603424,3.899263,6,10,16
321F,030 Charles Flahault,30,43.618762,3.865971,3,5,8
621A,031 Voltaire,31,43.603767,3.888659,5,3,8
34AC,032 Prés d'Arènes,32,43.59048,3.884611,6,2,8
122B,033 Garcia Lorca,33,43.590757,3.890616,7,1,8
1756,034 Vert Bois,34,43.63458,3.86823,0,16,16
15B7,035 Malbosc,35,43.633679,3.832861,4,4,8
4A1C,036 Occitanie,36,43.634242,3.849128,2,30,32
9126,037 FacdesSciences,37,43.631018,3.860697,16,8,24
D91E,038 Fac de Lettres,38,43.630665,3.87023,1,15,16
E8DD,039 Aiguelongue,39,43.626163,3.882492,6,2,8
53AD,040 Jeu de Mail des Abbés,40,43.619701,3.883831,4,4,8
C663,041 Euromédecine,41,43.639119,3.828199,5,3,8
E5E9,042 Marie Caizergues,42,43.619871,3.873812,5,3,8
B69D,043 Sabines,43,43.584211,3.860031,5,3,8
D2C1,044 Celleneuve,44,43.61467,3.832624,1,7,8
BAD1,045 Jardin de la Lironde,45,43.60585,3.911576,3,5,8
51A3,046 Père Soulas,46,43.621983,3.855603,6,2,8
E50A,047 Place Viala,47,43.616812,3.855075,1,7,8
DEFB,048 Hôtel du Département,48,43.621682,3.83477,4,4,8
46F4,049 Tonnelles,49,43.615155,3.839466,0,8,8
0319,050 Parvis Jules Ferry - Gare Saint-Roch,50,43.603889,3.879362,7,1,8
5421,051 Pont de Lattes - Gare Saint-Roch,51,43.606036,3.882393,1,11,12
7C96,053 Deux Ponts - Gare Saint-Roch,53,43.604319,3.880916,1,7,8
80F7,054 Providence - Ovalie,54,43.588239,3.853421,2,6,8
656A,055 Pérols Etang de l'Or,55,43.558351,3.963412,35,33,68
B084,056 Albert 1er - Cathédrale,56,43.614005,3.873218,3,9,12
8842,057 Saint-Guilhem - Courreau,57,43.608996,3.872752,2,6,8
72D1,059 Sud De France,59,43.59562,3.9235,4,4,8
