data__stations__station_id,data__stations__name,data__stations__lat,data__stations__lon,data__stations__capacity
101,Châteaucreux,45.442972,4.398855,32
102,Chaléassiere,45.453601,4.383062,16
103,Carnot,45.447093,4.385487,24
104,Jacquard,45.441888,4.382492,12
105,Jaures,45.440725,4.387295,32
106,Dorian,45.43836,4.388435,32
107,Clapier,45.436903,4.378789,16
108,Peuple,45.436265,4.387539,32
109,A. Thomas,45.4328,4.388035,16
110,A. France,45.43065,4.389752,16
111,Tardy,45.427396,4.386718,12
112,Tréfilerie,45.427296,4.390669,24
113,Centre 2,45.42342,4.392292,24
114,Bellevue,45.415579,4.393322,24
115,Congrès,45.426972,4.404048,24
116,Villeboeuf,45.431808,4.395127,16
117,Chavanelle,45.435109,4.391962,24
118,J. Moulin,45.437404,4.392469,16
119,Fourneyron,45.4395,4.395669,24
120,St Francois,45.439538,4.403407,16
121,Bergson-Odde,45.45915,4.382838,16
122,Terrasse,45.46502,4.37874,16
123,Marx,45.422732,4.409376,16
124,Janin,45.448458,4.39492,16
125,Soleil,45.450015,4.402351,16
126,Hôp. Nord,45.479487,4.362541,32
127,J. Marc,45.4732778,4.3665277,24
128,Technopole,45.457,4.39241,16
129,Roannelle,45.4357171,4.3829931,16
130,Bicentenaire,45.420286,4.392776,16
131,Technopole-Christian Cabal,45.459291,4.395342,16
132,Manufacture - Le Fil,45.45168,4.388004,16
